title,category,lemmatization
research and data analyst,market research analysis marketing communications,"['role', 'experience', 'data', 'analyst', 'join', 'dynamic', 'team', 'platform', 'malaysia', 'sdn', 'bhd', 'fulltime', 'role', 'base', 'petaling', 'jaya', 'key', 'contributor', 'datadriven', 'decisionmaking', 'analysis', 'insight', 'support', 'market', 'strategy', 'initiative', 'youll', 'collect', 'clean', 'manage', 'large', 'volume', 'data', 'survey', 'digital', 'platform', 'client', 'source', 'ensure', 'data', 'integrity', 'clean', 'validation', 'transformation', 'raw', 'datasets', 'develop', 'optimise', 'spss', 'syntax', 'dataset', 'generation', 'clean', 'validation', 'multiple', 'project', 'apply', 'statistical', 'method', 'predictive', 'model', 'segmentation', 'technique', 'derive', 'actionable', 'insight', 'conduct', 'detail', 'crosstabulation', 'analysis', 'survey', 'market', 'datasets', 'summarise', 'insight', 'clientfacing', 'powerpoint', 'report', 'build', 'maintain', 'automate', 'dashboard', 'report', 'tool', 'support', 'internal', 'team', 'external', 'client', 'collaborate', 'crossfunctional', 'team', 'include', 'insight', 'product', 'client', 'success', 'translate', 'analytical', 'output', 'manage', 'timeline', 'deliverable', 'ensure', 'highquality', 'insight', 'produce', 'schedule', 'minimum', 'experience', 'data', 'analysis', 'role', 'preferably', 'market', 'communication', 'proficient', 'spss', 'include', 'syntax', 'script', 'batch', 'process', 'familiarity', 'python', 'strong', 'command', 'microsoft', 'excel', 'powerpoint', 'data', 'analysis', 'presentation', 'creation', 'solid', 'foundation', 'statistical', 'concept', 'weight', 'significance', 'test', 'segmentation', 'experience', 'work', 'complex', 'survey', 'data', 'crosstabulation', 'tool', 'askia', 'displayr', 'high', 'attention', 'strong', 'sense', 'accountability', 'data', 'quality', 'ability', 'prioritise', 'independently', 'manage', 'multiple', 'project', 'tight', 'deadline', 'degree', 'mathematics', 'statistic', 'science', 'quantitative', 'field', 'offer', 'flexible', 'work', 'arrangement', 'peoplefirst', 'culture', 'healthcare', 'benefit', 'opportunity', 'upskilling', 'professional', 'certification', 'role', 'grow', 'deeper', 'analytical', 'specialisation', 'platform', 'malaysia', 'sdn', 'bhd', 'global', 'network', 'researcher', 'strategist', 'technologist', 'deliver', 'insightled', 'market', 'data', 'solution', 'brand', 'smarter', 'decision', 'innovative', 'curious', 'commit', 'excellence', 'grow', 'apply', 'join', 'grow', 'team', 'excite', 'journey']"
data analyst,retail assistants retail consumer products,"['key', 'responsibility', 'collect', 'clean', 'validate', 'data', 'source', 'analyze', 'large', 'datasets', 'detect', 'trend', 'correlation', 'translate', 'complex', 'data', 'actionable', 'insight', 'nontechnical', 'user', 'partner', 'team', 'department', 'fulfill', 'data', 'assist', 'experiment', 'design', 'analysis', 'identify', 'process', 'improvement', 'opportunity', 'automation', 'stay', 'current', 'analytics', 'trend', 'tool', 'practice', 'qualification', 'bachelor', 'master', 'data', 'science', 'statistic', 'computer', 'science', 'field', 'fresh', 'graduate', 'encourage', 'apply', 'strong', 'proficiency', 'microsoft', 'excel', 'formula', 'pivot', 'table', 'chart', 'strong', 'analytical', 'problemsolving', 'skill', 'excellent', 'communication', 'data', 'storytelling', 'detailoriented', 'collaborative', 'mindset', 'proficiency', 'mandarin', 'speak', 'write', 'mandatory', 'effectively', 'communicate', 'mandarinspeaking', 'client']"
executivespecialist data analyst,analysis reporting mining resources energy,"['key', 'responsibility', 'serve', 'power', 'consultant', 'support', 'analytics', 'report', 'authority', 'offer', 'strategic', 'consultation', 'handson', 'development', 'expertise', 'possess', 'minimum', 'handson', 'experience', 'power', 'include', 'requirement', 'gather', 'visual', 'design', 'report', 'implementation', 'application', 'practice', 'provide', 'expert', 'guidance', 'development', 'maintenance', 'management', 'advance', 'report', 'dashboard', 'intelligence', 'solution', 'power', 'analyze', 'interpret', 'data', 'identify', 'trend', 'pattern', 'insight', 'offer', 'recommendation', 'improve', 'decisionmaking', 'clear', 'visual', 'storytelling', 'support', 'entire', 'lifecycle', 'include', 'data', 'analysis', 'data', 'validation', 'map', 'design', 'implementation', 'solution', 'collaborate', 'stakeholder', 'review', 'enhance', 'modernize', 'exist', 'system', 'ensure', 'alignment', 'goal', 'conduct', 'unit', 'test', 'develop', 'sqldatabase', 'query', 'assess', 'performance', 'resolve', 'datarelated', 'issue', 'closely', 'crossfunctional', 'team', 'integrate', 'power', 'system', 'data', 'source', 'unify', 'report', 'provide', 'daily', 'operational', 'support', 'power', 'dashboard', 'report', 'include', 'troubleshoot', 'maintenance', 'user', 'assistance', 'requirement', 'role', 'skill', 'power', 'data', 'analyst', 'associate', 'excellent', 'command', 'speak', 'write', 'english', 'mandarin', 'advantage', 'multitasking', 'ability', 'excellent', 'computer', 'knowledge', 'multiple', 'sclerosis', 'include', 'multiple', 'sclerosis', 'outlook', 'surf', 'internet', 'informationresearch', 'excellent', 'presentation', 'communication', 'skill', 'fast', 'type', 'skill', 'minimum', 'minute', 'problemsolving', 'skill', 'preferably', 'contact', 'background', 'experience', 'handson', 'power', 'experience', 'know', 'requirement', 'process', 'visual', 'design', 'implementation', 'practice', 'education', 'diploma', 'degree', 'equivalent', 'professional', 'qualification', 'principle', 'package', 'attractive', 'salary', 'mandarin', 'advantage', 'annual', 'leave', 'medical', 'leave', 'medical', 'hospitalization', 'coverage', 'work', 'location', 'bangsar', 'south', 'kuala', 'lumpur']"
data insights system solutions specialist,businesssystems analysts information communication technology,"['intelligence', 'system', 'specialist', 'provide', 'comprehensive', 'technical', 'support', 'department', 'system', 'ensure', 'smooth', 'operation', 'analyse', 'data', 'deliver', 'insight', 'drive', 'inform', 'decisionmaking', 'key', 'responsibility', 'include', 'maintain', 'accuracy', 'integrity', 'report', 'manage', 'functionality', 'offer', 'train', 'support', 'report', 'tool', 'role', 'responsibility', 'analyse', 'data', 'identify', 'trend', 'insight', 'provide', 'actionable', 'recommendation', 'help', 'stakeholder', 'inform', 'decision', 'improve', 'outcome', 'administer', 'accuracy', 'consistency', 'report', 'focus', 'timely', 'delivery', 'oversee', 'registration', 'report', 'warranty', 'ensure', 'relevant', 'data', 'capture', 'maintain', 'accurately', 'operational', 'efficiency', 'compliance', 'charge', 'system', 'user', 'creation', 'test', 'feature', 'optimal', 'functionality', 'provide', 'train', 'support', 'user', 'functionality', 'report', 'tool', 'ensure', 'seamless', 'adoption', 'effective', 'collaborate', 'closely', 'unit', 'report', 'deliver', 'customize', 'solution', 'align', 'objective', 'serve', 'primary', 'contact', 'systemrelated', 'issue', 'provide', 'timely', 'resolution', 'escalation', 'skill', 'qualification', 'candidate', 'possess', 'advancedhighergraduate', 'diploma', 'bachelor', 'degree', 'post', 'graduate', 'diploma', 'professional', 'degree', 'study', 'administrationmanagement', 'equivalent', 'work', 'experience', 'field', 'require', 'position', 'microsoft', 'excel', 'formula', 'strong', 'analyse', 'number', 'data', 'excellent', 'technical', 'problem', 'solve', 'interpersonal', 'skill', 'demonstrate', 'ability', 'perform', 'effectively', 'pressure', 'excellent', 'organizational', 'skill', 'prove', 'track', 'record', 'deliver', 'quality', 'renewable', 'contract']"
data analyst hybrid working,businesssystems analysts information communication technology,"['description', 'seek', 'seek', 'operate', 'marketleading', 'online', 'employment', 'marketplace', 'include', 'jobstreet', 'jobsdb', 'asia', 'seek', 'help', 'people', 'live', 'fulfil', 'productive', 'work', 'live', 'help', 'organisation', 'succeed', 'found', 'headquarter', 'melbourne', 'australia', 'seek', 'grow', 'multinational', 'technology', 'employee', 'list', 'australian', 'security', 'exchange', 'seek', 'presence', 'span', 'australia', 'zealand', 'hong', 'kong', 'indonesia', 'malaysia', 'philippine', 'singapore', 'thailand', 'additionally', 'seek', 'minority', 'investment', 'employment', 'marketplace', 'china', 'south', 'korea', 'bangladesh', 'seek', 'develop', 'apply', 'innovative', 'data', 'technology', 'tool', 'facilitate', 'highquality', 'match', 'improve', 'reliability', 'marketplace', 'seek', 'recognise', 'australia', 'place', 'technology', 'afr', 'bos', 'place', 'award', 'seek', 'name', 'star', 'employer', 'choice', 'hrd', 'asia', 'accolade', 'talentcorps', 'life', 'award', 'malaysia', 'job', 'description', 'join', 'seek', 'pas', 'trust', 'digital', 'passport', 'revolutionize', 'people', 'manage', 'share', 'verify', 'credential', 'job', 'market', 'fastgrowing', 'scaleup', 'seek', 'operate', 'malaysia', 'australia', 'youll', 'analytics', 'champion', 'drive', 'datadriven', 'decision', 'entire', 'product', 'suite', 'build', 'dashboard', 'kpi', 'monitor', 'guide', 'strategic', 'decision', 'partner', 'engineer', 'product', 'operation', 'uncover', 'gamechanging', 'insight', 'analyze', 'user', 'behavior', 'funnel', 'performance', 'metric', 'directly', 'impact', 'million', 'user', 'shape', 'product', 'strategy', 'conduct', 'test', 'statistical', 'analysis', 'optimize', 'user', 'experience', 'provide', 'analytical', 'support', 'multiple', 'product', 'squad', 'simultaneously', 'deliver', 'strategic', 'analysis', 'influence', 'roadmap', 'evolve', 'analytics', 'infrastructure', 'tool', 'qualification', 'sql', 'expert', 'advance', 'skill', 'manage', 'complex', 'largescale', 'datasets', 'storyteller', 'ability', 'mean', 'data', 'communicate', 'insight', 'analytics', 'pro', 'experience', 'test', 'funnel', 'analysis', 'statistical', 'significance', 'tool', 'savvy', 'familiarity', 'tableau', 'databricks', 'pythonr', 'highly', 'value', 'collaborative', 'strong', 'communication', 'skill', 'technical', 'team', 'startup', 'mindset', 'comfortable', 'ambiguity', 'roll', 'sleeve', 'role', 'crossfunctional', 'scaleup', 'environment', 'talented', 'people', 'kl', 'melbourne', 'sydney', 'youll', 'direct', 'impact', 'product', 'transform', 'people', 'showcase', 'credential', 'employer', 'seek', 'larger', 'data', 'science', 'community', 'desire', 'value', 'believe', 'aim', 'high', 'deliver', 'worldclass', 'forget', 'care', 'additional', 'seek', 'offer', 'annual', 'performance', 'plan', 'support', 'flexible', 'work', 'include', 'mix', 'depend', 'role', 'pay', 'unpaid', 'leave', 'benefit', 'include', 'personal', 'flexi', 'opportunity', 'purchase', 'additional', 'leave', 'seek', 'passionate', 'foster', 'culture', 'inclusion', 'wellbeing', 'embrace', 'value', 'diversity', 'people', 'purpose', 'drive', 'work', 'heart', 'team', 'diverse', 'idea', 'experience', 'perspective', 'creative', 'critical', 'ensure', 'effective', 'delivery', 'innovate', 'enable', 'future', 'success', 'application', 'people', 'diverse', 'background', 'life', 'experience', 'relate', 'gender', 'sexual', 'identity', 'culture', 'faith', 'disability', 'life', 'stag', 'skill', 'curiosity', 'adaptable', 'mindset', 'meet', 'responsibility', 'qualification', 'list', 'advertisement', 'touch', 'require', 'specific', 'support', 'adjustment', 'recruitment', 'process', 'advise', 'assist', 'seek', 'kindly', 'request', 'unsolicited', 'resume', 'approach', 'recruitment', 'agency', 'responsible', 'fee']"
data product analyst,businesssystems analysts information communication technology,"['role', 'join', 'miya', 'global', 'technology', 'data', 'product', 'analyst', 'fastpaced', 'kuala', 'lumpur', 'key', 'member', 'communication', 'technology', 'team', 'responsible', 'translate', 'requirement', 'datadriven', 'solution', 'drive', 'strategic', 'decisionmaking', 'youll', 'develop', 'implement', 'maintain', 'comprehensive', 'data', 'management', 'ensure', 'stability', 'security', 'companywide', 'data', 'operation', 'welldefined', 'process', 'policy', 'tool', 'design', 'data', 'strategy', 'social', 'platform', 'user', 'establish', 'metric', 'leverage', 'data', 'infrastructure', 'support', 'product', 'direction', 'growth', 'strategy', 'identify', 'refine', 'data', 'analysis', 'scenario', 'extract', 'address', 'analytics', 'stakeholder', 'iteratively', 'enhance', 'data', 'platform', 'application', 'empower', 'function', 'drive', 'datadriven', 'initiative', 'oversee', 'companywide', 'data', 'product', 'development', 'data', 'governance', 'data', 'asset', 'management', 'focus', 'data', 'security', 'compliance', 'conduct', 'routine', 'data', 'analysis', 'maintain', 'data', 'report', 'provide', 'insight', 'address', 'challenge', 'bachelor', 'degree', 'mathematics', 'statistic', 'computer', 'science', 'field', 'prove', 'experience', 'data', 'analyst', 'analyst', 'datadriven', 'role', 'proficient', 'product', 'prototyping', 'tool', 'experience', 'build', 'data', 'system', 'data', 'product', 'strong', 'skill', 'requirement', 'abstraction', 'product', 'design', 'strong', 'datadriven', 'mindset', 'proficient', 'sql', 'high', 'sensitivity', 'data', 'familiarity', 'data', 'analysis', 'data', 'visualization', 'possess', 'acumen', 'strong', 'understand', 'industry', 'trend', 'goaloriented', 'efficiently', 'fastpaced', 'crossfunctional', 'team', 'environment', 'excellent', 'communication', 'collaboration', 'skill', 'highly', 'executiondriven', 'proactive', 'capable', 'independent', 'summarization', 'problemsolving', 'proficiency', 'mandarin', 'prefer', 'effectively', 'communicate', 'mandarinspeaking', 'client', 'miya', 'global', 'technology', 'sdn', 'bhd', 'lead', 'technology', 'specialize', 'original', 'software', 'development', 'operation', 'internet', 'mobile', 'internet', 'sector', 'technical', 'expertise', 'experience', 'establish', 'strong', 'presence', 'voice', 'live', 'stream', 'social', 'network', 'innovative', 'solution', 'deep', 'industry', 'knowledge', 'position', 'forefront', 'digital', 'entertainment', 'communication', 'industry', 'apply', 'excite', 'opportunity', 'data', 'product', 'analyst']"
business analyst,analysts consulting strategy,"['proactive', 'analyst', 'focus', 'capacity', 'analysis', 'role', 'involve', 'assess', 'productivity', 'identify', 'potential', 'bottleneck', 'provide', 'actionable', 'recommendation', 'improve', 'efficiency', 'responsibility', 'collaborate', 'project', 'manager', 'forecast', 'resource', 'ensure', 'alignment', 'project', 'timeline', 'identify', 'capacityrelated', 'challenge', 'provide', 'practical', 'recommendation', 'enhance', 'team', 'performance', 'support', 'project', 'team', 'offer', 'insight', 'solution', 'encounter', 'resource', 'capacity', 'issue', 'develop', 'optimize', 'capacity', 'track', 'tool', 'dashboard', 'ensure', 'management', 'access', 'accurate', 'timely', 'data', 'inform', 'decisionmaking', 'document', 'process', 'improvement', 'enhance', 'resource', 'efficiency', 'team', 'productivity', 'requirement', 'analytical', 'proficiency', 'data', 'analysis', 'tool', 'excel', 'power', 'tableau', 'proactive', 'fast', 'learn', 'possess', 'bachelor', 'degree', 'work', 'experience', 'experience', 'analysis', 'capacity', 'plan', 'project', 'resource', 'management', 'production', 'management', 'prefer', 'experience', 'crossfunctional', 'project', 'prefer']"
data analyst,businesssystems analysts information communication technology,"['job', 'overview', 'primary', 'responsibility', 'role', 'implement', 'monitor', 'maintain', 'program', 'initiative', 'support', 'company', 'strategic', 'objective', 'role', 'require', 'strong', 'datadriven', 'insight', 'enhance', 'decisionmaking', 'deliver', 'highimpact', 'guest', 'experience', 'commercial', 'outcome', 'job', 'responsibility', 'project', 'oversight', 'report', 'support', 'multiple', 'project', 'team', 'develop', 'data', 'dashboard', 'track', 'kpis', 'prepare', 'proposal', 'ensure', 'timely', 'databacked', 'update', 'senior', 'management', 'monitor', 'budget', 'utilisation', 'support', 'project', 'track', 'mechanism', 'data', 'analysis', 'insight', 'develop', 'implement', 'assessment', 'protocol', 'evaluate', 'program', 'performance', 'identify', 'area', 'improvement', 'analyse', 'guest', 'behaviour', 'footfall', 'pattern', 'inform', 'strategic', 'decision', 'uncover', 'opportunity', 'product', 'experience', 'development', 'translate', 'insight', 'recommendation', 'enhance', 'exist', 'experience', 'propose', 'product', 'offering', 'align', 'visitor', 'trend', 'destination', 'strategy', 'digital', 'uiux', 'optimization', 'manage', 'user', 'journey', 'digital', 'touchpoints', 'include', 'mobile', 'app', 'website', 'ensure', 'ongoing', 'improvement', 'uiux', 'base', 'data', 'insight', 'user', 'behaviour', 'stakeholder', 'feedback', 'job', 'requirement', 'educational', 'qualification', 'bachelor', 'degree', 'market', 'data', 'analyticsscience', 'field', 'professional', 'experience', 'minimum', 'experience', 'data', 'analysis', 'preferably', 'market', 'market', 'content', 'management', 'event', 'coordination', 'project', 'management', 'proficient', 'data', 'visualisation', 'tool', 'power', 'tableau', 'google', 'analytics', 'microsoft', 'excel', 'powerpoint', 'strong', 'understand', 'customer', 'segmentation', 'digital', 'analytics', 'ux', 'principle', 'characteristic', 'behaviour', 'competency', 'excellent', 'communication', 'presentation', 'skill', 'attention', 'passionate', 'positive', 'attitude', 'team', 'player', 'collaboratively', 'multidisciplinary', 'team']"
machine learning engineer ai,developersprogrammers information communication technology,"['highly', 'skilled', 'passionate', 'individual', 'join', 'position', 'machine', 'learn', 'engineer', 'process', 'increase', 'machine', 'learn', 'data', 'science', 'team', 'consist', 'data', 'scientist', 'machine', 'learn', 'engineer', 'apply', 'data', 'science', 'machine', 'learn', 'artificial', 'intelligence', 'tool', 'technique', 'develop', 'highly', 'intelligent', 'chatbots', 'virtual', 'assistant', 'service', 'improve', 'support', 'delivery', 'exceptional', 'customer', 'experience', 'enjoy', 'work', 'cuttingedge', 'technology', 'ability', 'insight', 'turn', 'real', 'impact', 'customer', 'business', 'society', 'job', 'highlight', 'expertise', 'machine', 'learn', 'proficiency', 'mle', 'ops', 'advance', 'machine', 'learn', 'technique', 'contribute', 'development', 'innovative', 'conversational', 'ai', 'solution', 'responsibility', 'design', 'code', 'test', 'deploy', 'iterate', 'largescale', 'distribute', 'machine', 'learn', 'system', 'collaborate', 'multifunctional', 'agile', 'team', 'data', 'science', 'ux', 'design', 'product', 'management', 'engineer', 'build', 'feature', 'product', 'service', 'delight', 'customer', 'developer', 'create', 'endtoend', 'machine', 'learn', 'feedback', 'loop', 'integrate', 'customer', 'interaction', 'application', 'improve', 'exist', 'machine', 'learn', 'model', 'term', 'model', 'performance', 'compute', 'performance', 'drive', 'code', 'review', 'optimization', 'test', 'tool', 'improve', 'code', 'quality', 'reliability', 'implement', 'practice', 'enhance', 'exist', 'machine', 'learn', 'infrastructure', 'process', 'active', 'group', 'data', 'science', 'machine', 'learn', 'practitioner', 'shape', 'direction', 'machine', 'learn', 'artificial', 'intelligence', 'organization', 'qualification', 'higher', 'computer', 'science', 'computer', 'engineer', 'technical', 'field', 'involve', 'machine', 'learn', 'equivalent', 'technical', 'experience', 'strong', 'analytical', 'problemsolving', 'skill', 'prove', 'software', 'development', 'skill', 'multiple', 'program', 'language', 'python', 'react', 'angular', 'experience', 'machine', 'learn', 'software', 'package', 'chatgpt', 'kera', 'scikitlearn', 'xgboost', 'tensorflow', 'nltk', 'caffe', 'theano', 'knowledge', 'audio', 'transcription', 'pyannote', 'speaker', 'diarizations', 'gen', 'ai', 'summarization', 'realtime', 'ai', 'voice', 'bot', 'conversational', 'platform', 'rasa', 'nuance', 'mix', 'familiar', 'llm', 'model', 'chatgpt', 'gemini', 'familiarity', 'containerbased', 'technology', 'docker', 'kubernetes', 'devops', 'practice', 'code', 'review', 'automate', 'test', 'log', 'performance', 'monitor', 'frontend', 'technology', 'react', 'react', 'native', 'familiar', 'relational', 'nosql', 'vector', 'database', 'mysql', 'mongodb', 'weaviate', 'strong', 'communication', 'skill', 'collaborative', 'mindset', 'experience', 'data', 'process', 'tool', 'hadoop', 'apache', 'spark', 'apache', 'beam', 'cloud', 'platform', 'aws', 'azure', 'gcp', 'consider']"
intern aiml machine learning,mathematics statistics information sciences science technology,"['job', 'description', 'intern', 'daytoday', 'responsibility', 'support', 'aiml', 'team', 'data', 'capture', 'preprocessing', 'model', 'train', 'main', 'job', 'task', 'responsibility', 'support', 'data', 'capture', 'data', 'annotation', 'analysis', 'assist', 'report', 'documentation', 'assist', 'ai', 'model', 'train', 'require', 'qualification', 'experience', 'student', 'pursue', 'bachelor', 'degree', 'diploma', 'science', 'major', 'ai', 'study', 'computer', 'science', 'preferable', 'internship', 'requirement', 'knowledge', 'skill', 'basic', 'understand', 'aiml', 'concept', 'algorithm', 'familiarity', 'tool', 'framework', 'python', 'tensorflow', 'pytorch', 'knowledge', 'data', 'preprocessing', 'technique', 'annotation', 'tool', 'strong', 'analytical', 'problemsolving', 'skill']"
programmer machine learning,developersprogrammers information communication technology,"['responsibility', 'data', 'science', 'team', 'develop', 'evaluate', 'optimize', 'model', 'machine', 'learn', 'algorithm', 'problem', 'solve', 'process', 'optimization', 'execute', 'project', 'involve', 'machine', 'learn', 'algorithm', 'computer', 'vision', 'application', 'neural', 'network', 'cluster', 'segmentation', 'object', 'detection', 'track', 'code', 'refactoring', 'optimization', 'containerization', 'deployment', 'versioning', 'monitor', 'quality', 'design', 'implement', 'cloud', 'solution', 'cicd', 'pipeline', 'build', 'mlops', 'cloud', 'design', 'selfrunning', 'web', 'mobile', 'application', 'software', 'data', 'automate', 'predictive', 'model', 'requirement', 'bsc', 'msc', 'phd', 'mathematics', 'computer', 'science', 'data', 'science', 'machine', 'learn', 'artificial', 'intelligence', 'field', 'provide', 'strong', 'technical', 'knowledge', 'experience', 'machine', 'learn', 'proficient', 'machine', 'learn', 'framework', 'scikitlearn', 'panda', 'tensorflow', 'kera', 'proficient', 'program', 'script', 'skill', 'python', 'javascript', 'experience', 'frontend', 'react', 'backend', 'framework', 'nodejs', 'experience', 'design', 'implement', 'azure', 'cloudbased', 'solution', 'service', 'excellent', 'interpersonal', 'skill', 'team', 'player', 'resourceful', 'strong', 'analytical', 'skill', 'communication', 'write', 'english']"
data annotator,database development administration information communication technology,"['job', 'description', 'key', 'responsibility', 'accurately', 'label', 'categorize', 'large', 'datasets', 'include', 'text', 'audio', 'image', 'review', 'correct', 'data', 'annotation', 'ensure', 'quality', 'consistency', 'closely', 'ai', 'machine', 'learn', 'team', 'projectspecific', 'guideline', 'provide', 'feedback', 'improve', 'data', 'annotation', 'process', 'meet', 'dailyweekly', 'annotation', 'target', 'maintain', 'highquality', 'standard', 'requirement', 'strong', 'attention', 'ability', 'independently', 'basic', 'computer', 'skill', 'familiarity', 'online', 'tool', 'ability', 'detail', 'instruction', 'adapt', 'change', 'project', 'prior', 'experience', 'data', 'annotation', 'field', 'require', 'english', 'language', 'capability', 'advantage', 'tool', 'english', 'additionally', 'train', 'english', 'translate']"
ai programmer,developersprogrammers information communication technology,"['role', 'jcl', 'credit', 'lease', 'sdn', 'bhd', 'seek', 'experience', 'ai', 'programmer', 'join', 'dynamic', 'team', 'base', 'kuala', 'lumpur', 'fulltime', 'position', 'play', 'crucial', 'role', 'develop', 'implement', 'cuttingedge', 'artificial', 'intelligence', 'ai', 'solution', 'drive', 'company', 'digital', 'transformation', 'enhance', 'service', 'offering', 'client', 'youll', 'design', 'develop', 'implement', 'robust', 'ai', 'model', 'algorithm', 'solve', 'complex', 'problem', 'collaborate', 'crossfunctional', 'team', 'requirement', 'translate', 'effective', 'aipowered', 'solution', 'continuously', 'optimise', 'refine', 'ai', 'model', 'improve', 'performance', 'accuracy', 'develop', 'maintain', 'highquality', 'efficient', 'scalable', 'aidriven', 'application', 'service', 'conduct', 'test', 'debug', 'ensure', 'reliability', 'integrity', 'ai', 'system', 'stay', 'uptodate', 'latest', 'trend', 'advancement', 'ai', 'machine', 'learn', 'mentor', 'junior', 'developer', 'expand', 'company', 'ai', 'capability', 'bachelor', 'degree', 'computer', 'science', 'computer', 'engineer', 'field', 'solid', 'experience', 'aimachine', 'learn', 'program', 'preferably', 'commercial', 'environment', 'proficient', 'program', 'language', 'python', 'tensorflow', 'pytorch', 'strong', 'understand', 'ai', 'algorithm', 'neural', 'network', 'data', 'preprocessing', 'technique', 'experience', 'deploy', 'optimise', 'ai', 'model', 'production', 'environment', 'excellent', 'problemsolving', 'analytical', 'skill', 'keen', 'eye', 'join', 'fresh', 'graduate', 'encourage', 'apply', 'start', 'salary', 'staff', 'benefit', 'annual', 'medical', 'checkup', 'leader', 'annual', 'medical', 'checkup', 'staff', 'age', 'house', 'allowance', 'education', 'benefit', 'medical', 'life', 'accident', 'insurance', 'staff', 'position', 'allowance', 'instructor', 'leader', 'birth', 'allowance', 'loyalty', 'award', 'clean', 'attendance', 'award', 'team', 'entertainment', 'allowance', 'bereavement', 'allowance', 'field', 'visit', 'allowance', 'accommodation', 'allowance', 'visit']"
machine learning engineer artificial intelligence,engineering software information communication technology,"['seek', 'highly', 'motivate', 'individual', 'best', 'join', 'team', 'machine', 'learn', 'engineer', 'artificial', 'intelligence', 'graduate', 'experience', 'professional', 'passion', 'curiosity', 'ability', 'determination', 'ai', 'engineer', 'responsibility', 'design', 'develop', 'deploy', 'machine', 'learn', 'model', 'algorithm', 'complex', 'unique', 'datasets', 'technique', 'mathematical', 'model', 'scikitlearn', 'nlp', 'cnn', 'rnn', 'transformer', 'gin', 'llm', 'rag', 'prompt', 'engineer', 'gpt', 'ai', 'agent', 'foundation', 'model', 'gpt', 'mcp', 'vlm', 'vla', 'collaborate', 'crossfunctional', 'team', 'extract', 'insight', 'identify', 'opportunity', 'provide', 'datadriven', 'recommendation', 'stay', 'uptodate', 'latest', 'machine', 'learn', 'ai', 'technique', 'tool', 'communicate', 'complex', 'technical', 'concept', 'nontechnical', 'stakeholder', 'easytounderstand', 'manner', 'requirement', 'bachelor', 'degree', 'higher', 'computer', 'science', 'mathematics', 'statistic', 'actuarial', 'science', 'informatics', 'science', 'field', 'strong', 'analytical', 'skill', 'attention', 'participation', 'kaggle', 'mathematics', 'olympiad', 'competition', 'excellent', 'program', 'skill', 'python', 'java', 'familiar', 'framework', 'tensorflow', 'kera', 'pytorch', 'mlflow', 'automl', 'tensorrt', 'cuda', 'huggingface', 'langchain', 'llamaindex', 'excellent', 'communication', 'collaboration', 'skill', 'experience', 'design', 'train', 'deploy', 'machine', 'learn', 'model', 'customer', 'centric', 'commit', 'deliver', 'ai', 'customer', 'machine', 'learn', 'engineer', 'receive', 'guidance', 'experience', 'senior', 'ai', 'specialist', 'opportunity', 'professional', 'growth', 'advancement', 'encourage', 'cod', 'future', 'career', 'path', 'include', 'senior', 'machine', 'learn', 'engineer', 'ai', 'architect', 'ai', 'team', 'lead', 'data', 'scientist', 'data', 'architect', 'data', 'lead', 'engineer', 'senior', 'engineer', 'note', 'position', 'best', 'expect', 'candidate', 'strong', 'mathematical', 'background', 'grit', 'solve', 'complex', 'problem', 'take', 'excel', 'challenge', 'position', 'apply', 'fresh', 'graduate', 'encourage', 'apply']"
